iso_code,location,stringency_index,population,gdp_per_capita,human_development_index,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
GHA,Ghana,8.33,31072945,4227.63,0.592,0.693147181,#NUM!,2.119863456,17.25184806,8.349396831
GIB,Gibraltar,73.15,33691,,,2.302585093,#NUM!,4.292512127,10.42498602,#NUM!
GRC,Greece,,10423056,24574.382,0.87,#NUM!,#NUM!,#NUM!,16.15953083,10.1094598
GRL,Greenland,72.22,56772,,,0.693147181,#NUM!,4.279717016,10.94679853,#NUM!
GRD,Grenada,,112519,13593.877,0.772,0,#NUM!,#NUM!,11.63087738,9.51737475
GUM,Guam,55.56,168783,,,1.098612289,#NUM!,4.017463518,12.03636915,#NUM!
GTM,Guatemala,11.11,17915567,7423.808,0.65,#NUM!,#NUM!,2.407845604,16.70118056,8.912447412
GGY,Guernsey,,67052,,,0,#NUM!,#NUM!,11.11322372,#NUM!
GIN,Guinea,13.89,13132792,1998.926,0.459,0,#NUM!,2.631169157,16.39062287,7.600365315
GNB,Guinea-Bissau,,1967998,1548.675,0.455,0.693147181,#NUM!,#NUM!,14.49252734,7.345155006
GUY,Guyana,25.0,786559,7435.047,0.654,0,0,3.218875825,13.57542301,8.91396018
HTI,Haiti,82.41,11402533,1653.173,0.498,0.693147181,#NUM!,4.411706789,16.24934608,7.410451751
HND,Honduras,11.11,9904608,4541.795,0.617,0.693147181,#NUM!,2.407845604,16.10851066,8.421077587
HKG,Hong Kong,49.07,7496988,56054.92,0.933,#NUM!,#NUM!,3.89324785,15.8300119,10.9340872
HUN,Hungary,11.11,9660350,26777.561,0.838,#NUM!,#NUM!,2.407845604,16.08354044,10.19531954
ISL,Iceland,,341250,46482.958,0.935,#NUM!,#NUM!,#NUM!,12.74037063,10.74684103
IND,India,,1380004385,6426.674,0.64,#NUM!,#NUM!,#NUM!,21.04535251,8.768212421
IDN,Indonesia,,273523621,11188.744,0.694,#NUM!,#NUM!,#NUM!,19.42689854,9.322663552
IRN,Iran,,83992953,19082.62,0.798,#NUM!,#NUM!,#NUM!,18.24624346,9.856533252
IRQ,Iraq,0.0,40222503,15663.986,0.685,#NUM!,#NUM!,#NUM!,17.50993717,9.659119471
IRL,Ireland,0.0,4937796,67335.293,0.938,#NUM!,#NUM!,#NUM!,15.41242964,11.11743979
IMN,Isle of Man,0.0,85032,,,0,#NUM!,#NUM!,11.35078294,#NUM!
ISR,Israel,0.0,8655541,33132.32,0.903,#NUM!,#NUM!,#NUM!,15.97371025,10.40826452
ITA,Italy,0.0,60461828,35220.084,0.88,#NUM!,#NUM!,#NUM!,17.91752278,10.46937177
JAM,Jamaica,30.56,2961161,8193.571,0.732,0.693147181,#NUM!,3.419691964,14.90109198,9.011105101
JPN,Japan,0.0,126476458,39002.223,0.909,#NUM!,#NUM!,#NUM!,18.65556675,10.57137392
JEY,Jersey,0.0,101073,,,1.609437912,#NUM!,#NUM!,11.52359831,#NUM!
JOR,Jordan,0.0,10203140,8337.49,0.735,0,#NUM!,#NUM!,16.13820607,9.028517491
KAZ,Kazakhstan,19.44,18776707,24055.588,0.8,#NUM!,#NUM!,2.967332799,16.74812767,10.0881226
KEN,Kenya,13.89,53771300,2993.028,0.59,#NUM!,#NUM!,2.631169157,17.80025043,8.004040863
OWID_KOS,Kosovo,72.22,1932774,9795.834,0.0,0.693147181,#NUM!,4.279717016,14.47446683,9.189712472
KWT,Kuwait,0.0,4270563,65530.537,0.803,#NUM!,#NUM!,#NUM!,15.26725623,11.09027153
KGZ,Kyrgyzstan,63.89,6524191,3393.474,0.672,1.098612289,#NUM!,4.157162855,15.69102752,8.129609454
LAO,Laos,25.93,7275556,6397.36,0.601,0.693147181,#NUM!,3.2554006,15.80003079,8.763640684
LVA,Latvia,8.33,1886202,25063.846,0.847,#NUM!,#NUM!,2.119863456,14.45007584,10.12918169
LBN,Lebanon,0.0,6825442,13367.565,0.757,#NUM!,#NUM!,#NUM!,15.73616766,9.500586529
LSO,Lesotho,62.04,2142252,2851.153,0.52,0,#NUM!,4.127779338,14.57736817,7.955478753
LBR,Liberia,30.56,5057677,752.788,0.435,0,#NUM!,3.419691964,15.43641784,6.623783648
LBY,Libya,5.56,6871287,17881.509,0.706,#NUM!,#NUM!,1.715598108,15.74286198,9.791522441
LIE,Liechtenstein,0.0,38137,,0.916,0,#NUM!,#NUM!,10.54894022,#NUM!
LTU,Lithuania,0.0,2722291,29524.265,0.858,#NUM!,#NUM!,#NUM!,14.81698436,10.29296775
LUX,Luxembourg,,625976,94277.965,0.904,#NUM!,#NUM!,#NUM!,13.34706731,11.45400277
MKD,Macedonia,,2083380,13111.214,0.757,#NUM!,#NUM!,#NUM!,14.54950213,9.481223174
MDG,Madagascar,82.41,27691019,1416.44,0.519,1.098612289,#NUM!,4.411706789,17.13661869,7.25590196
MWI,Malawi,52.78,19129955,1095.042,0.477,#NUM!,#NUM!,3.966132331,16.76676599,6.998547998
MYS,Malaysia,,32365998,26808.164,0.802,#NUM!,#NUM!,#NUM!,17.29261899,10.19646175
MDV,Maldives,,540542,15183.616,0.717,0.693147181,#NUM!,#NUM!,13.20032762,9.627972231
MLI,Mali,72.22,20250834,2014.306,0.427,0.693147181,#NUM!,4.279717016,16.82370654,7.608029998
MLT,Malta,,441539,36513.323,0.878,#NUM!,#NUM!,#NUM!,12.99802163,10.50543249
MRT,Mauritania,16.67,4649660,3597.633,0.52,0,#NUM!,2.813610697,15.35230466,8.188031408
MUS,Mauritius,50.0,1271767,20292.745,0.79,1.098612289,#NUM!,3.912023005,14.05591783,9.918018712
MEX,Mexico,,128932753,17336.469,0.774,#NUM!,#NUM!,#NUM!,18.67480153,9.760567596
MDA,Moldova,11.11,4033963,5189.972,0.7,0,#NUM!,2.407845604,15.21025983,8.554483581
MCO,Monaco,,39244,,,#NUM!,#NUM!,#NUM!,10.57755385,#NUM!
MNG,Mongolia,57.41,3278292,11840.846,0.741,0,#NUM!,4.050218504,15.00283311,9.379310359
MNE,Montenegro,,628062,16409.288,0.814,0.693147181,#NUM!,#NUM!,13.35039417,9.705602795
MSR,Montserrat,37.96,4999,,,0,#NUM!,3.636532974,8.516993171,#NUM!
MAR,Morocco,0.0,36910558,7485.013,0.667,#NUM!,#NUM!,#NUM!,17.42400819,8.920658034
MOZ,Mozambique,47.22,31255435,1136.103,0.437,0,#NUM!,3.854817532,17.25770384,7.035359264
MMR,Myanmar,43.52,54409794,5591.597,0.578,#NUM!,#NUM!,3.773220603,17.81205473,8.629020214
NAM,Namibia,8.33,2540916,9541.808,0.647,0.693147181,#NUM!,2.119863456,14.7480352,9.163438264
NPL,Nepal,,29136808,2442.804,0.574,#NUM!,#NUM!,#NUM!,17.18751281,7.800901839
NLD,Netherlands,,17134873,48472.545,0.931,#NUM!,#NUM!,#NUM!,16.6566263,10.78875283
NCL,New Caledonia,,285491,,,0.693147181,#NUM!,#NUM!,12.56196578,#NUM!
NZL,New Zealand,,4822233,36085.843,0.917,#NUM!,#NUM!,#NUM!,15.38874766,10.49365591
NIC,Nicaragua,8.33,6624554,5321.444,0.658,0,#NUM!,2.119863456,15.70629361,8.579499974
NER,Niger,52.78,24206636,926.0,0.354,0,#NUM!,3.966132331,17.00213737,6.830874235
NGA,Nigeria,,206139587,5338.454,0.532,#NUM!,#NUM!,#NUM!,19.1440641,8.582691377
MNP,Northern Mariana Islands,,57557,,,0.693147181,#NUM!,#NUM!,10.96053104,#NUM!
NOR,Norway,,5421242,64800.057,0.953,#NUM!,#NUM!,#NUM!,15.5058355,11.07906176
OMN,Oman,,5106622,37960.709,0.821,#NUM!,#NUM!,#NUM!,15.44604869,10.54430693
PAK,Pakistan,,220892331,5034.708,0.562,#NUM!,#NUM!,#NUM!,19.21318595,8.524110809
PSE,Palestine,74.07,5101416,4449.898,0.686,1.945910149,#NUM!,4.305010592,15.44502871,8.400636454
PAN,Panama,8.33,4314768,22267.037,0.789,#NUM!,#NUM!,2.119863456,15.27755412,10.0108627
PNG,Papua New Guinea,22.22,8947027,3823.194,0.544,0,#NUM!,3.100992784,16.00683186,8.248841478
PRY,Paraguay,5.56,7132530,8827.01,0.702,#NUM!,#NUM!,1.715598108,15.78017657,9.085571618
